idx,kind,type,start_x,start_y,end_x,end_y,length_m
123,line,FeatureLine,10.278,-1.28,10.28,-1.12,0.1600124995117568
124,line,FeatureLine,2.08,1.986,3.68,1.98,1.6000112499604495
125,line,FeatureLine,4.16,1.987,6.669,1.973,2.5090390590821814
126,line,FeatureLine,-22.837,0.404,-22.849,1.115,0.711101258612302
127,line,FeatureLine,5.44,7.141,6.879,7.124,1.4391004134527923
128,line,FeatureLine,-2.125,2.484,-2.172,2.54,0.0731095069057371
129,line,FeatureLine,-2.081,1.998,-1.919,2.003,0.16207714212682792
130,line,FeatureLine,4.962,-1.522,6.079,-1.494,1.117350884905901
131,line,FeatureLine,10.32,2.398,10.22,3.517,1.1234593895642153
132,line,FeatureLine,-7.2,6.673,-7.04,6.675,0.16001249951175703
133,line,FeatureLine,4.8,7.079,5.28,7.069,0.48010415536631257
134,line,FeatureLine,9.438,7.028,9.757,6.967,0.32477992548801315
135,line,FeatureLine,-9.265,3.36,-9.268,3.52,0.16002812252851073
136,line,FeatureLine,8.32,7.072,8.8,7.076,0.48001666637732526
137,line,FeatureLine,-7.617,6.401,-7.59,6.722,0.3221335126931074
138,line,FeatureLine,-11.341,2.738,-11.202,2.722,0.1399178330306749
139,line,FeatureLine,9.288,6.894,9.372,6.98,0.1202164714171897
140,line,FeatureLine,-6.4,7.119,-5.92,7.128,0.4800843675855322
141,line,FeatureLine,10.153,-3.36,10.155,-2.56,0.8000024999960936
142,line,FeatureLine,-12.601,-1.589,-12.528,-1.458,0.1499666629621399
143,line,FeatureLine,-9.547,2.58,-9.444,2.693,0.15289865924853607
144,line,FeatureLine,-12.617,2.412,-12.575,2.57,0.1634870025414868
145,line,FeatureLine,-5.28,7.155,-4.64,7.169,0.6401531066862057
146,line,FeatureLine,9.92,6.944,10.239,6.899,0.3221583461591528
147,line,FeatureLine,3.042,7.127,3.837,7.048,0.798915514932587
148,line,FeatureLine,-0.48,6.406,-0.462,6.557,0.15206906325745617
149,line,FeatureLine,10.26,-3.36,10.261,-2.4,0.960000520833192
150,line,FeatureLine,-12.618,2.737,-12.481,2.736,0.13700364958642572
151,line,FeatureLine,4.32,7.074,4.64,7.081,0.320076553343102
152,line,FeatureLine,3.778,-1.28,3.77,-0.961,0.3191002977121771
153,line,FeatureLine,10.284,4.647,10.246,4.796,0.1537693077307693
154,line,FeatureLine,2.563,7.092,2.877,7.053,0.3164127051810653
155,line,FeatureLine,10.237,6.896,10.566,7.007,0.34722039110628333
156,line,FeatureLine,1.465,7.067,1.597,7.078,0.13245754036671514
157,line,FeatureLine,-22.87,3.205,-22.872,3.357,0.15201315732527904
158,line,FeatureLine,10.409,-1.599,10.405,-1.446,0.15305227865013973
159,line,FeatureLine,2.422,7.144,2.552,7.047,0.16220049321749935
160,line,FeatureLine,-8.584,6.906,-8.5,7.048,0.16498484778912287
161,line,FeatureLine,-6.554,7.102,-6.404,7.127,0.15206906325745576
162,line,FeatureLine,-8.596,6.017,-8.497,5.944,0.12300406497348003
163,line,FeatureLine,10.27,-4.479,10.27,-4.32,0.1589999999999998
164,line,FeatureLine,-4.873,2.014,6.673,1.977,11.546059284448525
165,line,FeatureLine,6.658,1.978,6.663,3.207,1.229010170828541
166,line,FeatureLine,-4.91,3.201,6.673,3.218,11.583012475172424
167,line,FeatureLine,-4.895,3.214,-4.89,2.026,1.1880105218389274
168,line,FeatureLine,-4.831,-0.814,6.692,-0.839,11.523027119641782
169,line,FeatureLine,6.728,-0.833,6.736,-2.077,1.244025723206719
170,line,FeatureLine,-4.826,-2.047,6.745,-2.052,11.571001080286873
171,line,FeatureLine,-4.837,-0.761,-4.83,-2.042,1.281019125540286
172,line,FeatureLine,-4.719,-4.316,-4.784,-3.453,0.8654443945164819
173,line,FeatureLine,-4.817,-3.496,6.794,-3.493,11.61100038756351
174,line,FeatureLine,8.477,6.103,-8.531,6.072,17.00802825138764
0,curve,DegenerateBezier,-0.843,-0.183,-1.283,-0.182,0.4400013644913626
